"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"... behind ""%w""",66,0.000
,,"""%w"" until ...",62,0.000
,,"""%w"" upon ...",62,0.000
,,"""%w"" against ...",60,0.000
,,"... past ""%w""",60,0.000
,,"""%w"" so ...",59,0.000
,,"""%w"" while ...",59,0.000
,,"... off ""%w""",57,0.000
,,"""%w"" beyond ...",56,0.000
,,"... near ""%w""",56,0.000
,,"""%w"" since ...",50,0.000
,,"""%w"" down ...",47,0.000
,,"... within ""%w""",44,0.000
,,"... so ""%w""",42,0.000
,,"... once ""%w""",42,0.000
,,"""%w"" among ...",41,0.000
,,"""%w"" outside ...",41,0.000
,,"""%w"" inside ...",36,0.000
,,"""%w"" about ...",35,0.000
,,"... above ""%w""",35,0.000
,,"""%w"" unless ...",29,0.000
,,"... during ""%w""",28,0.000
,,"""%w"" up ...",21,0.000
,,"""%w"" despite ...",20,0.000
,,"... till ""%w""",20,0.000
,,"""%w"" beneath ...",19,0.000
,,"""%w"" en ...",19,0.000
,,"... amid ""%w""",17,0.000
,,"""%w"" unlike ...",17,0.000
,,"""%w"" near ...",16,0.000
,,"""%w"" save ...",16,0.000
,,"... amidst ""%w""",13,0.000
,,"... though ""%w""",12,0.000
,,"""%w"" aboard ...",12,0.000
,,"... amongst ""%w""",11,0.000
danger,"adjective predicates of X",,30733,1.460
,,"inherent",5254,9.720
,,"imminent",798,8.270
,,"real",1924,7.300
,,"past",1032,7.090
,,"implicit",210,6.930
,,"near",585,6.760
,,"greatest",123,6.510
,,"ever-present",87,6.420
,,"acute",173,6.380
,,"immediate",147,6.190
,,"attendant",72,6.110
,,"untold",74,6.080
,,"grave",81,6.030
,,"incidental",88,5.970
,,"impending",59,5.920
,,"imaginary",66,5.860
,,"obvious",478,5.770
,,"extreme",113,5.670
,,"afoot",59,5.500
,,"apparent",274,5.490
,,"palpable",80,5.380
,,"minimal",167,5.370
,,"considerable",56,5.100
,,"nigh",40,5.100
,,"latent",36,5.070
danger,"X is a ...",,6177,0.290
,,"danger",115,7.330
,,"complacency",31,7.290
,,"temptation",25,6.680
,,"corner",51,6.440
,,"panic",18,6.350
,,"deflation",16,6.330
,,"tendency",33,6.200
,,"inflation",21,6.170
,,"collapse",18,6.100
,,"fire",41,5.870
,,"potential",25,5.750
,,"fear",46,5.710
,,"damage",26,5.670
,,"aphrodisiac",11,5.640
,,"apathy",10,5.620
,,"proliferation",11,5.590
,,"exposure",20,5.570
,,"Iran",13,5.560
,,"radiation",12,5.510
,,"terrorism",13,5.480
,,"possibility",81,5.400
,,"risk",81,5.360
,,"explosion",12,5.240
,,"two-fold",22,5.210
,,"ignorance",12,5.210
,,"Islam",11,5.080
danger,"X''s ...",,322,0.020
,,"hour",48,5.150
danger,"possessors of X",,2333,0.110
,,"tobacco",36,8.550
,,"smoking",22,8.030
,,"ephedra",18,7.920
,,"chemical",31,7.880
,,"marijuana",41,7.840
,,"radiation",16,7.580
,,"drug",144,7.470
,,"Vioxx",13,7.430
,,"fracking",14,7.400
,,"fluoride",13,7.180
,,"mercury",11,7.100
,,"lead",18,6.740
,,"warming",11,6.690
,,"Democracy",12,6.660
,,"alcohol",12,6.440
,,"virus",35,5.930
,,"wave",10,5.920
,,"COVID-19",14,5.450
,,"job",14,5.380
,,"vaccine",13,5.340
,,"product",86,5.070
danger,"... in X",,316627,15.030
,,"be",245645,8.030
,,"life",9875,7.560
,,"seem",1214,6.760
,,"feel",1340,6.490
,,"put",3910,6.260
,,"child",2291,6.000
,,"other",1350,5.880
,,"family",1497,5.830
,,"look",944,5.560
,,"place",1216,5.190
,,"health",438,5.070
danger,"X of ...",,301177,14.300
,,"extinction",5149,8.850
,,"smoking",2920,8.060
,,"frost",2592,8.050
,,"collapse",3131,8.020
,,"driving",1421,7.030
,,"fire",2948,6.880
,,"harm",1309,6.680
,,"drug",2953,6.670
,,"exposure",1803,6.670
,,"war",5261,6.570
,,"warming",1156,6.550
,,"attack",2958,6.540
,,"prejudice",1002,6.530
,,"death",4644,6.520
,,"injury",1945,6.460
,,"collision",958,6.440
,,"abuse",2086,6.430
,,"explosion",1017,6.420
,,"asbestos",830,6.380
,,"radiation",1087,6.300
,,"drinking",812,6.260
,,"poisoning",791,6.210
,,"contamination",876,6.190
,,"pollution",999,6.190
,,"invasion",886,6.160
,,"addiction",793,6.060
,,"smoke",923,6.050
,,"flooding",699,6.050
,,"closing",629,5.990
,,"infection",1478,5.980
,,"sinking",584,5.940
,,"tobacco",647,5.880
,,"alcohol",907,5.840
,,"terrorism",833,5.800
,,"destruction",923,5.740
,,"misuse",519,5.730
,,"use",2360,5.700
,,"starvation",527,5.700
,,"relegation",480,5.680
,,"vaccine",926,5.660
,,"fascism",521,5.640
,,"pesticide",542,5.540
,,"damage",1132,5.530
,,"Internet",864,5.530
,,"proliferation",458,5.530
,,"situation",1294,5.470
,,"loss",1069,5.460
,,"virus",884,5.450
,,"accident",740,5.420
,,"sea",706,5.420
,,"extremism",423,5.410
,,"conflict",1011,5.370
,,"weapon",920,5.360
,,"concussion",396,5.350
,,"failure",839,5.270
,,"escalation",369,5.260
,,"chemical",617,5.230
,,"vaping",346,5.210
,,"inflation",454,5.180
,,"communism",408,5.150
,,"trafficking",413,5.150
,,"flood",386,5.150
,,"change",2218,5.130
,,"default",391,5.130
,,"avalanche",332,5.130
,,"violence",1215,5.120
,,"complacency",324,5.100
,,"disease",1490,5.070
,,"travel",595,5.030
,,"judgment",537,5.030
,,"Islam",576,5.010
danger,"... of X",,188973,8.970
,,"warn",12050,10.420
,,"warning",3818,8.980
,,"aware",16453,8.470
,,"unaware",2751,8.020
,,"awareness",4760,7.780
,,"face",6047,7.390
,,"reminder",1519,7.230
,,"apprehension",733,6.850
,,"public",660,6.680
,,"sense",7185,6.240
,,"conscious",631,6.220
,,"hint",1122,6.190
,,"sign",3263,6.170
,,"clear",661,6.110
,,"threat",1350,6.110
,,"disregard",432,6.050
,,"situation",765,5.990
,,"know",1403,5.940
,,"spite",1138,5.910
,,"fear",1446,5.850
,,"other",467,5.850
,,"heedless",336,5.830
,,"ignorant",436,5.810
,,"moment",1590,5.790
,,"mindful",421,5.700
,,"inform",481,5.640
,,"perception",964,5.630
,,"wary",391,5.620
,,"element",2238,5.580
,,"zone",463,5.580
,,"beware",357,5.550
,,"signal",346,5.530
,,"midst",771,5.460
,,"full",3089,5.400
,,"extent",771,5.340
,,"source",3407,5.320
,,"approach",370,5.300
,,"thrill",276,5.270
,,"cognizant",246,5.260
,,"time",4269,5.210
,,"aura",248,5.140
,,"feeling",981,5.120
,,"imminence",204,5.120
,,"unconscious",198,5.070
,,"speak",1055,5.040
,,"remind",312,5.040
,,"tell",364,5.040
,,"air",315,5.030
danger,"X to ...",,107277,5.090
,,"health",6849,8.650
,,"society",4522,8.650
,,"democracy",1343,7.920
,,"security",2075,7.880
,,"safety",2013,7.810
,,"peace",1103,7.500
,,"liberty",719,7.450
,,"human",1443,7.440
,,"self",980,7.280
,,"life",6301,7.140
,,"pedestrian",527,7.140
,,"public",4111,7.110
,,"child",3304,6.900
,,"humanity",604,6.850
,,"other",2420,6.750
,,"community",3463,6.710
,,"navigation",345,6.510
,,"freedom",675,6.500
,,"stability",388,6.400
,,"worker",704,6.270
,,"pet",316,6.260
,,"wildlife",304,6.250
,,"cyclist",263,6.220
,,"existence",382,6.140
,,"civilian",266,6.130
,,"republic",245,6.130
,,"civilization",287,6.120
,,"nation",608,6.110
,,"motorist",248,6.110
,,"environment",925,6.060
,,"survival",335,6.020
,,"anyone",1357,6.000
,,"shipping",205,5.830
,,"citizen",453,5.780
,,"planet",315,5.780
,,"driver",359,5.780
,,"ship",329,5.780
,,"animal",412,5.770
,,"Israel",484,5.740
,,"mankind",237,5.710
,,"person",1167,5.700
,,"aircraft",229,5.700
,,"Republic",239,5.680
,,"crew",230,5.680
,,"soul",285,5.670
,,"resident",546,5.670
,,"troop",228,5.670
,,"occupant",179,5.640
,,"integrity",202,5.640
,,"baby",263,5.610
,,"bird",245,5.610
,,"population",431,5.590
,,"officer",364,5.590
,,"personnel",223,5.560
,,"interest",476,5.550
,,"user",968,5.540
,,"passenger",221,5.530
,,"country",1189,5.490
,,"Americans",260,5.480
,,"economy",448,5.400
,,"victim",321,5.380
,,"America",567,5.370
,,"woman",738,5.330
,,"people",2748,5.320
,,"States",655,5.280
,,"patient",619,5.240
,,"well-being",166,5.230
,,"kid",301,5.220
,,"welfare",162,5.220
,,"world",1085,5.210
,,"vessel",164,5.180
,,"faith",222,5.160
,,"future",327,5.120
,,"everyone",640,5.120
,,"unity",134,5.100
,,"U.S.",293,5.070
,,"order",338,5.010
danger,"... about X",,54665,2.600
,,"warn",3613,10.450
,,"warning",2779,9.890
,,"public",1525,8.890
,,"people",1681,8.630
,,"child",1021,8.490
,,"awareness",1655,8.410
,,"parent",394,7.520
,,"tale",461,7.510
,,"kid",376,7.420
,,"student",533,7.310
,,"educate",323,7.190
,,"consumer",291,7.190
,,"community",369,7.180
,,"message",445,7.090
,,"other",325,7.070
,,"alarm",222,6.910
,,"youth",215,6.910
,,"campaign",203,6.830
,,"teen",193,6.790
,,"lesson",268,6.780
,,"world",206,6.670
,,"education",234,6.660
,,"year",209,6.490
,,"driver",153,6.460
,,"inform",344,6.330
,,"citizen",138,6.270
,,"resident",141,6.190
,,"Americans",128,6.190
,,"caution",123,6.170
,,"concern",1062,6.160
,,"user",144,6.160
,,"employee",134,6.100
,,"reader",135,6.090
,,"teach",193,6.070
,,"fear",165,6.060
,,"woman",133,6.060
,,"concern",1143,6.050
,,"patient",130,5.920
,,"evidence",138,5.840
,,"claim",203,5.830
,,"speak",797,5.800
,,"reminder",102,5.750
,,"word",229,5.740
,,"point",250,5.700
,,"everyone",94,5.690
,,"lecture",97,5.680
,,"time",129,5.660
,,"family",105,5.660
,,"speech",107,5.650
,,"member",109,5.620
,,"know",1785,5.610
,,"argument",153,5.600
,,"aware",94,5.590
,,"truth",315,5.570
,,"teenager",80,5.560
,,"worry",1160,5.530
,,"preach",85,5.510
,,"population",75,5.440
,,"tell",185,5.420
,,"worker",77,5.420
,,"audience",81,5.390
,,"right",103,5.370
,,"country",77,5.370
,,"lie",174,5.360
,,"parable",73,5.360
,,"customer",82,5.300
,,"government",74,5.290
,,"adult",67,5.260
,,"worry",130,5.250
,,"write",786,5.220
,,"owner",66,5.210
,,"anxiety",87,5.190
,,"medium",75,5.180
,,"school",67,5.170
,,"statement",184,5.140
,,"film",159,5.120
,,"report",135,5.100
,,"article",367,5.100
,,"player",59,5.070
,,"scream",60,5.060
,,"learn",1265,5.010
,,"talk",613,5.010
danger,"... to X",,45164,2.140
,,"alert",1200,9.270
,,"oblivious",1265,8.720
,,"alert",623,8.170
,,"expose",4344,7.760
,,"public",393,7.660
,,"alive",349,7.630
,,"blind",461,7.580
,,"awaken",275,7.040
,,"awareness",220,6.510
,,"alert",138,6.250
,,"indifference",142,6.050
,,"eye",397,6.030
,,"other",166,5.880
,,"react",678,5.860
,,"world",228,5.820
,,"immune",219,5.780
,,"people",597,5.750
,,"indifferent",128,5.750
,,"worker",131,5.720
,,"awake",76,5.710
,,"vulnerable",505,5.700
,,"driver",101,5.670
,,"country",232,5.610
,,"awake",85,5.590
,,"stranger",173,5.580
,,"citizen",87,5.550
,,"point",1022,5.460
,,"inure",69,5.440
,,"proportion",157,5.420
,,"Americans",72,5.410
,,"vigilant",59,5.380
,,"susceptible",292,5.330
,,"community",117,5.290
,,"attention",1666,5.280
,,"child",284,5.270
,,"attune",89,5.230
,,"prey",93,5.160
,,"wise",53,5.100
,,"insensible",49,5.090
,,"sensitive",295,5.030
,,"exposure",705,5.010
,,"employee",79,5.010
danger,"X in ...",,31395,1.490
,,"use",2441,6.640
,,"approach",281,5.560
,,"delay",76,5.520
,,"Manger",36,5.200
danger,"... with X",,24552,1.170
,,"fraught",6905,11.470
,,"fraught",1102,10.130
,,"attend",495,8.480
,,"flirt",556,7.940
,,"beset",222,7.780
,,"rife",276,7.140
,,"wrought",105,6.920
,,"brush",202,6.900
,,"face",1414,6.670
,,"confront",381,6.480
,,"threaten",237,6.380
,,"unattended",61,6.320
,,"flirt",62,6.140
,,"frought",35,5.530
,,"dice",35,5.510
,,"commensurate",82,5.410
,,"pregnant",103,5.390
,,"flirtation",37,5.370
,,"surround",57,5.340
,,"riddle",96,5.320
,,"contend",94,5.310
,,"fill",1620,5.120
,,"lace",72,5.120
danger,"... from X",,23762,1.130
,,"safe",1482,8.680
,,"public",347,8.050
,,"flee",625,7.720
,,"deliverance",211,7.530
,,"safety",165,7.340
,,"secure",132,7.180
