"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"Pandya",17,5.940
,,"genotype",16,5.920
,,"NMC",17,5.880
,,"athlete",95,5.790
,,"Federer",24,5.700
,,"population",44,5.670
,,"applicant",221,5.620
,,"striker",25,5.620
,,"nominee",28,5.600
,,"individual",466,5.490
,,"candidate",168,5.470
,,"Kante",12,5.470
,,"Ronaldo",22,5.450
,,"datum",17,5.440
,,"GMC",13,5.420
,,"Matip",11,5.370
,,"parasite",13,5.300
,,"Messi",19,5.280
,,"Nadal",17,5.280
,,"practitioner",54,5.270
,,"female",29,5.270
,,"Kane",27,5.270
,,"Neymar",13,5.260
,,"species",36,5.250
,,"Wilshere",10,5.210
,,"meme",10,5.200
,,"squad",20,5.190
,,"seafarer",13,5.180
,,"Bale",14,5.170
,,"Rohit",10,5.150
,,"Sen",18,5.140
,,"player",339,5.120
,,"Aguero",10,5.110
,,"Kavanaugh",20,5.070
,,"Rooney",15,5.060
,,"Fitbit",10,5.010
fitness,"... of X",,56337,4.960
,,"warranty",1200,8.930
,,"warrant",397,7.500
,,"certificate",1797,7.150
,,"level",15251,6.490
,,"test",716,5.860
,,"peak",324,5.520
,,"measure",867,5.370
,,"component",1150,5.340
,,"indicator",334,5.290
fitness,"X for ...",,24510,2.160
,,"duty",997,8.270
,,"purpose",11114,7.330
,,"office",1279,7.130
,,"habitation",107,6.720
,,"occupation",125,6.290
,,"ministry",120,5.760
,,"heaven",52,5.560
,,"presidency",87,5.510
,,"obligation",46,5.370
,,"command",75,5.310
,,"employment",147,5.250
fitness,"... to X",,17859,1.570
,,"battle",48,6.130
,,"dedication",215,5.470
,,"edge",27,5.290
,,"return",1278,5.230
,,"recovery",26,5.100
fitness,"X of ...",,14499,1.280
,,"offspring",160,6.940
,,"genotype",112,6.860
,,"organism",399,6.340
,,"progeny",38,5.920
,,"applicant",241,5.650
,,"phenotype",52,5.610
,,"hybrid",71,5.560
,,"allele",47,5.400
,,"heterozygote",19,5.380
,,"homozygote",17,5.220
,,"mutant",53,5.180
,,"strain",104,5.020
fitness,"... for X",,13950,1.230
,,"swim",137,7.670
,,"swimming",58,6.860
,,"chi",49,6.790
,,"struggle",299,6.720
,,"exercise",186,6.470
,,"walk",172,6.450
,,"exercise",68,6.440
,,"passion",1061,6.350
,,"gym",57,6.330
,,"dancing",37,6.170
,,"box",34,6.130
,,"warranty",58,6.110
,,"cycling",32,6.030
,,"yoga",56,6.000
,,"workout",40,5.690
,,"ride",57,5.640
,,"proxy",77,5.530
,,"cycle",23,5.530
,,"boxing",20,5.510
,,"sport",58,5.480
,,"dance",34,5.180
,,"train",96,5.180
,,"evaluate",60,5.130
,,"Wii",15,5.060
,,"nutrition",29,5.020
fitness,"... on X",,12106,1.070
,,"sweat",249,9.170
,,"mutation",41,6.330
,,"consequence",34,5.170
,,"tip",77,5.020
fitness,"... in X",,12027,1.060
,,"variance",94,6.090
,,"improvement",778,5.320
,,"gain",171,5.110
fitness,"X in ...",,6823,0.600
,,"Chlamydomonas",16,6.250
,,"schoolchildren",14,5.910
,,"midlife",15,5.830
,,"off-season",20,5.370
,,"swimsuit",13,5.290
,,"adolescent",34,5.280
