"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
,,"draw",22224,6.270
,,"transmit",14412,6.250
,,"provide",85417,6.200
,,"need",42167,6.140
,,"vest",11872,6.110
,,"reduce",30139,6.080
,,"exert",11985,6.070
,,"combine",16608,6.060
,,"require",38963,6.030
,,"concentrate",11583,6.020
,,"feel",20575,6.000
,,"apply",18262,5.990
,,"maintain",21217,5.980
,,"regain",11420,5.950
,,"understand",21032,5.940
,,"expand",15102,5.880
,,"control",15829,5.820
,,"radiate",9698,5.810
,,"cut",15197,5.780
,,"derive",11091,5.770
,,"acquire",12779,5.760
,,"show",29758,5.700
,,"purchase",13454,5.700
,,"utilize",11214,5.700
,,"want",19782,5.690
,,"buy",20580,5.670
,,"discover",12800,5.650
,,"get",70629,5.630
,,"rise",10461,5.590
,,"unlock",8904,5.570
,,"compute",8536,5.530
,,"bring",23895,5.530
,,"usurp",7935,5.530
,,"take",79440,5.520
,,"boost",9439,5.520
,,"enhance",11405,5.510
,,"grow",14517,5.480
,,"distribute",9715,5.480
,,"extend",10824,5.470
,,"project",8449,5.470
,,"realize",8940,5.440
,,"put",22104,5.430
,,"devolve",7313,5.410
,,"turn",13367,5.400
,,"save",13629,5.400
,,"seek",12455,5.390
,,"stop",11097,5.390
,,"share",16295,5.380
,,"recognize",10393,5.350
,,"experience",11216,5.300
,,"pull",9166,5.260
,,"obtain",10942,5.250
,,"develop",20303,5.240
,,"strengthen",7828,5.190
,,"claim",8326,5.150
,,"assert",6176,5.100
,,"invoke",6167,5.090
,,"achieve",10344,5.080
,,"shift",6781,5.080
,,"diminish",6004,5.050
,,"receive",19574,5.040
,,"rate",6195,5.010
power,"verbs with X as subject",,1755818,8.820
,,"confer",12360,7.760
,,"corrupt",9806,7.470
,,"steer",9825,7.440
,,"supply",8363,6.890
,,"lie",10311,6.520
,,"save",7263,6.490
,,"generate",6451,6.210
,,"come",42754,6.030
,,"shift",4045,5.870
,,"flow",4170,5.810
,,"struggle",4224,5.730
,,"go",34680,5.690
,,"reside",3406,5.680
,,"grow",7775,5.520
,,"rest",2941,5.510
,,"increase",6053,5.500
,,"pack",2786,5.490
,,"lead",10368,5.420
,,"switch",2742,5.400
,,"wash",2449,5.350
,,"fail",5175,5.310
,,"remain",8036,5.210
,,"control",3185,5.200
,,"mean",6388,5.190
,,"back",2654,5.180
,,"exist",4441,5.150
,,"grant",2426,5.100
,,"delegate",1873,5.100
,,"belong",2956,5.100
,,"be",744515,5.040
,,"manifest",1880,5.040
,,"enable",3240,5.020
,,"operate",4047,5.010
,,"need",11028,5.010
power,"X and/or ...",,2739898,13.760
,,"wealth",52789,9.080
,,"authority",53895,8.850
,,"influence",44628,8.790
,,"power",54512,8.350
,,"money",36939,8.100
,,"strength",33525,8.050
,,"speed",29839,7.960
,,"control",38464,7.940
,,"duty",24240,7.920
,,"privilege",19184,7.700
,,"glory",15304,7.420
,,"energy",23356,7.370
,,"ability",20125,7.290
,,"torque",12166,7.140
,,"wisdom",12578,7.030
,,"prestige",11151,7.010
,,"beauty",12977,6.930
,,"responsibility",13317,6.900
,,"heat",12084,6.900
,,"wind",11120,6.730
,,"knowledge",16315,6.720
,,"water",18917,6.710
,,"right",16422,6.700
,,"force",12161,6.680
,,"flexibility",9336,6.570
,,"status",10470,6.550
,,"function",12007,6.520
,,"performance",13707,6.490
,,"resource",13832,6.450
,,"grace",8151,6.450
,,"principality",7079,6.390
,,"size",12943,6.380
,,"presence",8251,6.370
,,"efficiency",8847,6.300
,,"love",10545,6.220
,,"will",7018,6.200
,,"politics",8239,6.160
,,"position",8228,6.110
,,"capacity",7274,6.090
,,"gas",6668,5.910
,,"weight",6498,5.890
,,"light",7723,5.880
,,"freedom",6490,5.870
,,"might",4925,5.860
,,"range",6115,5.780
,,"fuel",5306,5.770
,,"fame",4831,5.770
,,"spirit",5778,5.730
,,"greed",4686,5.720
,,"memory",5561,5.660
,,"capability",5294,5.640
,,"profit",4773,5.620
,,"jurisdiction",4362,5.620
,,"importance",4429,5.540
,,"skill",7827,5.530
,,"life",9425,5.530
,,"battery",4301,5.450
,,"majesty",3645,5.420
,,"God",5239,5.400
,,"weapon",4245,5.320
,,"nature",4782,5.310
,,"system",10087,5.300
